Prefixo;Tipo_Frota;Empresa;Tanque
63171;PADRON 15m C/AR - SP;Sao Paulo;500
63172;PADRON 15m C/AR - SP;Sao Paulo;500
63173;PADRON 15m C/AR - SP;Sao Paulo;500
63174;PADRON 15m C/AR - SP;Sao Paulo;500
63175;PADRON 15m C/AR - SP;Sao Paulo;500
63176;PADRON 15m C/AR - SP;Sao Paulo;500
63178;PADRON 15m C/AR - SP;Sao Paulo;500
63179;PADRON 15m C/AR - SP;Sao Paulo;500
63180;PADRON 15m C/AR - SP;Sao Paulo;300
63181;PADRON 15m C/AR - SP;Sao Paulo;500
63182;PADRON 15m C/AR - SP;Sao Paulo;500
63183;PADRON 15m C/AR - SP;Sao Paulo;500
63184;PADRON 15m C/AR - SP;Sao Paulo;500
63185;PADRON 15m C/AR - SP;Sao Paulo;500
63186;PADRON 15m C/AR - SP;Sao Paulo;500
63187;PADRON 15m C/AR - SP;Sao Paulo;500
63188;PADRON 15m C/AR - SP;Sao Paulo;500
63189;PADRON 15m C/AR - SP;Sao Paulo;500
63190;PADRON 15m C/AR - SP;Sao Paulo;500
63191;PADRON 15m C/AR - SP;Sao Paulo;500
63192;PADRON 15m C/AR - SP;Sao Paulo;500
63193;PADRON 15m C/AR - SP;Sao Paulo;500
63194;ARTICULADO SP;Sao Paulo;600
63195;ARTICULADO C/ AR - SP;Sao Paulo;600
63196;ARTICULADO C/ AR - SP;Sao Paulo;600
63197;ARTICULADO C/ AR - SP;Sao Paulo;200
63198;ARTICULADO C/ AR - SP;Sao Paulo;600
63199;ARTICULADO C/ AR - SP;Sao Paulo;600
63200;ARTICULADO C/ AR - SP;Sao Paulo;600
63201;ARTICULADO C/ AR - SP;Sao Paulo;500
63202;ARTICULADO C/ AR - SP;Sao Paulo;600
63203;ARTICULADO C/ AR - SP;Sao Paulo;500
63204;ARTICULADO C/ AR - SP;Sao Paulo;500
63211;PADRON SP;Sao Paulo;600
63212;PADRON SP;Sao Paulo;600
63215;PADRON SP;Sao Paulo;600
63216;PADRON SP;Sao Paulo;600
63217;PADRON SP;Sao Paulo;600
63218;PADRON SP;Sao Paulo;600
63219;PADRON SP;Sao Paulo;600
63220;PADRON SP;Sao Paulo;600
63221;PADRON SP;Sao Paulo;600
63222;PADRON SP;Sao Paulo;600
63223;PADRON SP;Sao Paulo;600
63224;PADRON SP;Sao Paulo;600
63226;PADRON SP;Sao Paulo;600
63227;PADRON SP;Sao Paulo;600
63228;PADRON SP;Sao Paulo;600
63229;PADRON SP;Sao Paulo;600
63230;PADRON SP;Sao Paulo;600
63232;PADRON SP;Sao Paulo;600
63233;PADRON SP;Sao Paulo;600
63234;PADRON SP;Sao Paulo;600
63235;PADRON SP;Sao Paulo;600
63238;PADRON SP;Sao Paulo;600
63240;PADRON SP;Sao Paulo;600
63241;PADRON SP;Sao Paulo;600
63242;PADRON SP;Sao Paulo;600
63243;PADRON SP;Sao Paulo;600
63244;PADRON SP;Sao Paulo;600
63246;PADRON C/AR - SP;Sao Paulo;300
63247;PADRON C/AR - SP;Sao Paulo;600
63248;PADRON C/AR - SP;Sao Paulo;600
63251;PADRON C/AR - SP;Sao Paulo;300
63255;PADRON C/AR - SP;Sao Paulo;300
63258;PADRON C/AR - SP;Sao Paulo;300
63259;PADRON C/AR - SP;Sao Paulo;600
63260;PADRON C/AR - SP;Sao Paulo;600
63269;PADRON C/AR - SP;Sao Paulo;600
63274;PADRON C/AR - SP;Sao Paulo;600
63276;PADRON C/AR - SP;Sao Paulo;300
63278;PADRON C/AR - SP;Sao Paulo;350
63279;PADRON C/AR - SP;Sao Paulo;350
63280;PADRON C/AR - SP;Sao Paulo;350
63281;PADRON C/AR - SP;Sao Paulo;350
63282;PADRON C/AR - SP;Sao Paulo;350
63283;PADRON C/AR - SP;Sao Paulo;350
63284;PADRON C/AR - SP;Sao Paulo;350
63285;PADRON C/AR - SP;Sao Paulo;350
63286;PADRON C/AR - SP;Sao Paulo;350
63287;PADRON C/AR - SP;Sao Paulo;350
63288;PADRON C/AR - SP;Sao Paulo;300
63290;PADRON C/AR - SP;Sao Paulo;300
63292;PADRON C/AR - SP;Sao Paulo;300
63297;PADRON C/AR - SP;Sao Paulo;400
63298;PADRON C/AR - SP;Sao Paulo;400
63305;SUPER ARTICULADO C/AR SP;Sao Paulo;600
63306;SUPER ARTICULADO C/AR SP;Sao Paulo;600
63307;SUPER ARTICULADO C/AR SP;Sao Paulo;600
63308;SUPER ARTICULADO C/AR SP;Sao Paulo;600
63310;SUPER ARTICULADO C/AR SP;Sao Paulo;600
63311;SUPER ARTICULADO C/AR SP;Sao Paulo;600
63312;SUPER ARTICULADO C/AR SP;Sao Paulo;600
63313;SUPER ARTICULADO C/AR SP;Sao Paulo;600
63322;PADRON C/AR - SP;Sao Paulo;600
63324;PADRON C/AR - SP;Sao Paulo;600
63325;PADRON C/AR - SP;Sao Paulo;600
63326;PADRON C/AR - SP;Sao Paulo;600
63327;PADRON C/AR - SP;Sao Paulo;600
63328;PADRON C/AR - SP;Sao Paulo;600
63329;PADRON C/AR - SP;Sao Paulo;600
63330;PADRON C/AR - SP;Sao Paulo;600
63331;PADRON C/AR - SP;Sao Paulo;600
63332;PADRON C/AR - SP;Sao Paulo;600
63333;PADRON C/AR - SP;Sao Paulo;600
63334;PADRON C/AR - SP;Sao Paulo;600
63335;PADRON C/AR - SP;Sao Paulo;600
63336;PADRON C/AR - SP;Sao Paulo;600
63337;PADRON C/AR - SP;Sao Paulo;600
63340;PADRON C/AR - SP;Sao Paulo;600
63341;PADRON C/AR - SP;Sao Paulo;600
63342;PADRON C/AR - SP;Sao Paulo;600
63343;PADRON C/AR - SP;Sao Paulo;600
63347;PADRON C/AR - SP;Sao Paulo;600
63348;PADRON C/AR - SP;Sao Paulo;600
63349;PADRON C/AR - SP;Sao Paulo;600
63350;PADRON C/AR - SP;Sao Paulo;600
63351;PADRON C/AR - SP;Sao Paulo;600
63352;PADRON C/AR - SP;Sao Paulo;600
63353;PADRON C/AR - SP;Sao Paulo;600
63354;PADRON C/AR - SP;Sao Paulo;600
63355;PADRON C/AR - SP;Sao Paulo;600
63356;PADRON C/AR - SP;Sao Paulo;600
63357;PADRON C/AR - SP;Sao Paulo;600
63359;PADRON C/AR - SP;Sao Paulo;600
63360;PADRON C/AR - SP;Sao Paulo;600
63361;PADRON C/AR - SP;Sao Paulo;600
63362;PADRON C/AR - SP;Sao Paulo;600
63363;PADRON C/AR - SP;Sao Paulo;600
63365;PADRON C/AR - SP;Sao Paulo;600
63366;PADRON C/AR - SP;Sao Paulo;600
63367;PADRON C/AR - SP;Sao Paulo;600
63368;PADRON C/AR - SP;Sao Paulo;500
63369;PADRON C/AR - SP;Sao Paulo;500
63370;PADRON C/AR - SP;Sao Paulo;500
63371;PADRON C/AR - SP;Sao Paulo;600
63372;PADRON C/AR - SP;Sao Paulo;600
63373;PADRON C/AR - SP;Sao Paulo;600
63374;PADRON C/AR - SP;Sao Paulo;600
63375;PADRON C/AR - SP;Sao Paulo;600
63376;PADRON C/AR - SP;Sao Paulo;600
63377;PADRON C/AR - SP;Sao Paulo;600
63378;PADRON C/AR - SP;Sao Paulo;500
63379;PADRON C/AR - SP;Sao Paulo;600
63380;PADRON C/AR - SP;Sao Paulo;600
63381;PADRON C/AR - SP;Sao Paulo;500
63382;PADRON C/AR - SP;Sao Paulo;500
63432;PADRON C/AR - SP;Sao Paulo;600
63446;PADRON C/AR - SP;Sao Paulo;500
63447;PADRON C/AR - SP;Sao Paulo;500
63448;PADRON C/AR - SP;Sao Paulo;500
63449;PADRON C/AR - SP;Sao Paulo;500
63450;PADRON C/AR - SP;Sao Paulo;500
63471;PADRON C/AR - SP;Sao Paulo;500
63478;PADRON C/AR - SP;Sao Paulo;500
63479;PADRON C/AR - SP;Sao Paulo;500
63500;SUPER ARTICULADO C/AR SP;Sao Paulo;250
63501;SUPER ARTICULADO C/AR SP;Sao Paulo;300
63502;SUPER ARTICULADO C/AR SP;Sao Paulo;600
63503;SUPER ARTICULADO C/AR SP;Sao Paulo;600
63504;SUPER ARTICULADO C/AR SP;Sao Paulo;600
63505;SUPER ARTICULADO C/AR SP;Sao Paulo;600
63506;SUPER ARTICULADO C/AR SP;Sao Paulo;500
63507;SUPER ARTICULADO C/AR SP;Sao Paulo;600
63522;SUPER ARTICULADO C/AR SP;Sao Paulo;600
63523;SUPER ARTICULADO C/AR SP;Sao Paulo;600
63524;SUPER ARTICULADO C/AR SP;Sao Paulo;600
63525;SUPER ARTICULADO C/AR SP;Sao Paulo;600
63526;SUPER ARTICULADO C/AR SP;Sao Paulo;600
63527;SUPER ARTICULADO C/AR SP;Sao Paulo;600
63528;SUPER ARTICULADO C/AR SP;Sao Paulo;600
63529;SUPER ARTICULADO C/AR SP;Sao Paulo;600
63530;SUPER ARTICULADO C/AR SP;Sao Paulo;600
63531;SUPER ARTICULADO C/AR SP;Sao Paulo;600
63532;SUPER ARTICULADO C/AR SP;Sao Paulo;600
63533;SUPER ARTICULADO C/AR SP;Sao Paulo;600
63534;SUPER ARTICULADO C/AR SP;Sao Paulo;600
63535;SUPER ARTICULADO C/AR SP;Sao Paulo;600
63536;SUPER ARTICULADO C/AR SP;Sao Paulo;600
63537;SUPER ARTICULADO C/AR SP;Sao Paulo;600
63538;SUPER ARTICULADO C/AR SP;Sao Paulo;600
63539;SUPER ARTICULADO C/AR SP;Sao Paulo;600
63540;ARTICULADO C/ AR - SP;Sao Paulo;500
63541;ARTICULADO C/ AR - SP;Sao Paulo;500
63542;ARTICULADO C/ AR - SP;Sao Paulo;500
63543;ARTICULADO C/ AR - SP;Sao Paulo;500
63544;ARTICULADO C/ AR - SP;Sao Paulo;500
63545;ARTICULADO C/ AR - SP;Sao Paulo;500
63546;ARTICULADO C/ AR - SP;Sao Paulo;500
63547;ARTICULADO C/ AR - SP;Sao Paulo;500
63548;ARTICULADO C/ AR - SP;Sao Paulo;500
63549;ARTICULADO C/ AR - SP;Sao Paulo;500
63550;ARTICULADO C/ AR - SP;Sao Paulo;500
63551;ARTICULADO C/ AR - SP;Sao Paulo;500
63552;ARTICULADO C/ AR - SP;Sao Paulo;500
63553;ARTICULADO C/ AR - SP;Sao Paulo;500
63554;ARTICULADO C/ AR - SP;Sao Paulo;500
63555;ARTICULADO C/ AR - SP;Sao Paulo;500
63556;ARTICULADO C/ AR - SP;Sao Paulo;500
63557;ARTICULADO C/ AR - SP;Sao Paulo;600
63558;ARTICULADO C/ AR - SP;Sao Paulo;600
63559;ARTICULADO C/ AR - SP;Sao Paulo;600
63560;ARTICULADO C/ AR - SP;Sao Paulo;500
63561;ARTICULADO C/ AR - SP;Sao Paulo;500
63562;ARTICULADO C/ AR - SP;Sao Paulo;600
63563;ARTICULADO C/ AR - SP;Sao Paulo;600
63564;ARTICULADO C/ AR - SP;Sao Paulo;500
63565;ARTICULADO C/ AR - SP;Sao Paulo;500
63566;ARTICULADO C/ AR - SP;Sao Paulo;500
63567;ARTICULADO C/ AR - SP;Sao Paulo;500
63568;ARTICULADO C/ AR - SP;Sao Paulo;500
63578;SUPER ARTICULADO C/AR SP;Sao Paulo;260
63583;PADRON C/AR - SP;Sao Paulo;600
63584;PADRON C/AR - SP;Sao Paulo;600
63585;PADRON C/AR - SP;Sao Paulo;250
63586;PADRON C/AR - SP;Sao Paulo;600
63587;PADRON C/AR - SP;Sao Paulo;250
63588;PADRON C/AR - SP;Sao Paulo;260
63589;PADRON C/AR - SP;Sao Paulo;250
63590;PADRON C/AR - SP;Sao Paulo;250
63591;PADRON C/AR - SP;Sao Paulo;600
63592;PADRON C/AR - SP;Sao Paulo;250
63593;PADRON C/AR - SP;Sao Paulo;250
63594;PADRON C/AR - SP;Sao Paulo;250
63595;PADRON C/AR - SP;Sao Paulo;275
63596;PADRON C/AR - SP;Sao Paulo;250
63597;PADRON C/AR - SP;Sao Paulo;250
63598;PADRON C/AR - SP;Sao Paulo;250
63599;PADRON C/AR - SP;Sao Paulo;600
63600;PADRON C/AR - SP;Sao Paulo;300
63601;PADRON C/AR - SP;Sao Paulo;250
63628;PADRON C/AR - SP;Sao Paulo;500
63629;PADRON C/AR - SP;Sao Paulo;500
63630;PADRON C/AR - SP;Sao Paulo;500
63631;PADRON C/AR - SP;Sao Paulo;500
63632;PADRON C/AR - SP;Sao Paulo;500
63633;PADRON C/AR - SP;Sao Paulo;500
63634;PADRON C/AR - SP;Sao Paulo;500
63635;PADRON C/AR - SP;Sao Paulo;500
63636;PADRON C/AR - SP;Sao Paulo;500
63637;PADRON C/AR - SP;Sao Paulo;500
63638;PADRON C/AR - SP;Sao Paulo;500
63639;PADRON C/AR - SP;Sao Paulo;500
63640;PADRON C/AR - SP;Sao Paulo;500
63641;PADRON C/AR - SP;Sao Paulo;500
63642;PADRON C/AR - SP;Sao Paulo;500
63643;PADRON C/AR - SP;Sao Paulo;500
63644;PADRON C/AR - SP;Sao Paulo;500
63645;PADRON C/AR - SP;Sao Paulo;500
63646;PADRON C/AR - SP;Sao Paulo;500
63647;PADRON C/AR - SP;Sao Paulo;500
63648;PADRON C/AR - SP;Sao Paulo;500
63649;PADRON C/AR - SP;Sao Paulo;500
63650;PADRON C/AR - SP;Sao Paulo;500
63651;PADRON C/AR - SP;Sao Paulo;500
63652;PADRON C/AR - SP;Sao Paulo;500
63653;PADRON C/AR - SP;Sao Paulo;500
63654;PADRON C/AR - SP;Sao Paulo;500
63655;PADRON C/AR - SP;Sao Paulo;500
63656;PADRON C/AR - SP;Sao Paulo;500
63657;PADRON C/AR - SP;Sao Paulo;500
63658;PADRON C/AR - SP;Sao Paulo;600
63659;PADRON C/AR - SP;Sao Paulo;500
63660;PADRON C/AR - SP;Sao Paulo;500
63661;PADRON C/AR - SP;Sao Paulo;500
63662;PADRON C/AR - SP;Sao Paulo;500
63663;PADRON C/AR - SP;Sao Paulo;500
63664;PADRON C/AR - SP;Sao Paulo;500
63665;PADRON C/AR - SP;Sao Paulo;500
63666;PADRON C/AR - SP;Sao Paulo;500
63667;PADRON C/AR - SP;Sao Paulo;500
63668;PADRON C/AR - SP;Sao Paulo;500
63669;PADRON C/AR - SP;Sao Paulo;500
63670;PADRON C/AR - SP;Sao Paulo;500
63671;PADRON C/AR - SP;Sao Paulo;500
63672;PADRON C/AR - SP;Sao Paulo;500
63673;PADRON C/AR - SP;Sao Paulo;500
63674;PADRON C/AR - SP;Sao Paulo;500
63675;PADRON C/AR - SP;Sao Paulo;500
63676;PADRON C/AR - SP;Sao Paulo;500
63677;PADRON C/AR - SP;Sao Paulo;500
63678;PADRON C/AR - SP;Sao Paulo;500
63679;PADRON C/AR - SP;Sao Paulo;500
63680;PADRON C/AR - SP;Sao Paulo;500
63681;PADRON C/AR - SP;Sao Paulo;500
63682;PADRON C/AR - SP;Sao Paulo;500
63683;PADRON C/AR - SP;Sao Paulo;400
63684;PADRON C/AR - SP;Sao Paulo;400
63685;PADRON C/AR - SP;Sao Paulo;400
63686;PADRON C/AR - SP;Sao Paulo;400
63687;PADRON C/AR - SP;Sao Paulo;400
63688;PADRON C/AR - SP;Sao Paulo;400
63689;PADRON C/AR - SP;Sao Paulo;400
64124;PADRON C/AR - SP;Sao Paulo;300
64125;PADRON C/AR - SP;Sao Paulo;300
64126;PADRON C/AR - SP;Sao Paulo;300
64127;PADRON C/AR - SP;Sao Paulo;300
64128;PADRON C/AR - SP;Sao Paulo;300
64129;PADRON C/AR - SP;Sao Paulo;300
64130;PADRON C/AR - SP;Sao Paulo;300
64131;PADRON C/AR - SP;Sao Paulo;300
64132;PADRON C/AR - SP;Sao Paulo;300
64143;PADRON C/AR - SP;Sao Paulo;300
64144;PADRON C/AR - SP;Sao Paulo;300
64145;PADRON C/AR - SP;Sao Paulo;300
64146;PADRON C/AR - SP;Sao Paulo;600
64147;PADRON C/AR - SP;Sao Paulo;300
64148;PADRON C/AR - SP;Sao Paulo;600
64149;PADRON C/AR - SP;Sao Paulo;300
64150;PADRON C/AR - SP;Sao Paulo;300
64151;PADRON C/AR - SP;Sao Paulo;300
64152;PADRON C/AR - SP;Sao Paulo;300
64153;PADRON C/AR - SP;Sao Paulo;300
64154;PADRON C/AR - SP;Sao Paulo;300
64155;PADRON C/AR - SP;Sao Paulo;300
64156;PADRON C/AR - SP;Sao Paulo;500
64157;PADRON C/AR - SP;Sao Paulo;300
64158;PADRON C/AR - SP;Sao Paulo;300
64159;PADRON C/AR - SP;Sao Paulo;300
64160;PADRON C/AR - SP;Sao Paulo;300
64161;PADRON C/AR - SP;Sao Paulo;300
64162;PADRON C/AR - SP;Sao Paulo;300
64163;PADRON C/AR - SP;Sao Paulo;300
64213;PADRON SP;Sao Paulo;600
64214;PADRON SP;Sao Paulo;600
64231;PADRON SP;Sao Paulo;600
64236;PADRON SP;Sao Paulo;600
64237;PADRON SP;Sao Paulo;600
64249;PADRON C/AR - SP;Sao Paulo;600
64253;PADRON C/AR - SP;Sao Paulo;300
64261;PADRON C/AR - SP;Sao Paulo;600
64262;PADRON C/AR - SP;Sao Paulo;600
64263;PADRON C/AR - SP;Sao Paulo;600
64264;PADRON C/AR - SP;Sao Paulo;600
64265;PADRON C/AR - SP;Sao Paulo;600
64266;PADRON C/AR - SP;Sao Paulo;600
64267;PADRON C/AR - SP;Sao Paulo;600
64268;PADRON C/AR - SP;Sao Paulo;600
64270;PADRON C/AR - SP;Sao Paulo;600
64273;PADRON C/AR - SP;Sao Paulo;300
64275;PADRON C/AR - SP;Sao Paulo;350
64277;PADRON C/AR - SP;Sao Paulo;350
64293;PADRON C/AR - SP;Sao Paulo;400
64294;PADRON C/AR - SP;Sao Paulo;400
64295;PADRON C/AR - SP;Sao Paulo;400
64296;PADRON C/AR - SP;Sao Paulo;400
64299;PADRON C/AR - SP;Sao Paulo;400
64300;PADRON C/AR - SP;Sao Paulo;400
64301;PADRON C/AR - SP;Sao Paulo;400
64302;PADRON C/AR - SP;Sao Paulo;400
64303;PADRON C/AR - SP;Sao Paulo;400
64304;PADRON C/AR - SP;Sao Paulo;300
64315;PADRON C/AR - SP;Sao Paulo;600
64317;PADRON C/AR - SP;Sao Paulo;600
64318;PADRON C/AR - SP;Sao Paulo;600
64319;PADRON C/AR - SP;Sao Paulo;600
64320;PADRON C/AR - SP;Sao Paulo;600
64321;PADRON C/AR - SP;Sao Paulo;600
64323;PADRON C/AR - SP;Sao Paulo;600
64338;PADRON C/AR - SP;Sao Paulo;600
64339;PADRON C/AR - SP;Sao Paulo;600
64344;PADRON C/AR - SP;Sao Paulo;600
64345;PADRON C/AR - SP;Sao Paulo;600
64346;PADRON C/AR - SP;Sao Paulo;600
64364;PADRON C/AR - SP;Sao Paulo;600
64383;PADRON C/AR - SP;Sao Paulo;500
64384;PADRON C/AR - SP;Sao Paulo;500
64385;PADRON C/AR - SP;Sao Paulo;500
64386;PADRON C/AR - SP;Sao Paulo;500
64387;PADRON C/AR - SP;Sao Paulo;500
64388;PADRON C/AR - SP;Sao Paulo;500
64389;PADRON C/AR - SP;Sao Paulo;500
64390;PADRON C/AR - SP;Sao Paulo;500
64391;PADRON C/AR - SP;Sao Paulo;500
64392;PADRON C/AR - SP;Sao Paulo;500
64393;PADRON C/AR - SP;Sao Paulo;500
64394;PADRON C/AR - SP;Sao Paulo;500
64395;PADRON C/AR - SP;Sao Paulo;500
64396;PADRON C/AR - SP;Sao Paulo;500
64397;PADRON C/AR - SP;Sao Paulo;500
64398;PADRON C/AR - SP;Sao Paulo;500
64399;PADRON C/AR - SP;Sao Paulo;500
64400;PADRON C/AR - SP;Sao Paulo;500
64411;PADRON C/AR - SP;Sao Paulo;500
64412;PADRON C/AR - SP;Sao Paulo;500
64413;PADRON C/AR - SP;Sao Paulo;500
64414;PADRON C/AR - SP;Sao Paulo;500
64415;PADRON C/AR - SP;Sao Paulo;500
64416;PADRON C/AR - SP;Sao Paulo;500
64417;PADRON C/AR - SP;Sao Paulo;500
64418;PADRON C/AR - SP;Sao Paulo;500
64419;PADRON C/AR - SP;Sao Paulo;500
64420;PADRON C/AR - SP;Sao Paulo;500
64421;PADRON C/AR - SP;Sao Paulo;500
64422;PADRON C/AR - SP;Sao Paulo;500
64423;PADRON C/AR - SP;Sao Paulo;500
64424;PADRON C/AR - SP;Sao Paulo;500
64425;PADRON C/AR - SP;Sao Paulo;600
64426;PADRON C/AR - SP;Sao Paulo;250
64427;PADRON C/AR - SP;Sao Paulo;500
64428;PADRON C/AR - SP;Sao Paulo;250
64429;PADRON C/AR - SP;Sao Paulo;500
64430;PADRON C/AR - SP;Sao Paulo;500
64431;PADRON C/AR - SP;Sao Paulo;600
64433;PADRON C/AR - SP;Sao Paulo;600
64434;PADRON C/AR - SP;Sao Paulo;600
64435;PADRON C/AR - SP;Sao Paulo;600
64436;PADRON C/AR - SP;Sao Paulo;600
64437;PADRON C/AR - SP;Sao Paulo;600
64438;PADRON C/AR - SP;Sao Paulo;600
64439;PADRON C/AR - SP;Sao Paulo;600
64440;PADRON C/AR - SP;Sao Paulo;600
64441;PADRON C/AR - SP;Sao Paulo;500
64442;PADRON C/AR - SP;Sao Paulo;500
64443;PADRON C/AR - SP;Sao Paulo;500
64444;PADRON C/AR - SP;Sao Paulo;500
64445;PADRON C/AR - SP;Sao Paulo;500
64451;PADRON C/AR - SP;Sao Paulo;500
64452;PADRON C/AR - SP;Sao Paulo;500
64454;PADRON C/AR - SP;Sao Paulo;500
64455;PADRON C/AR - SP;Sao Paulo;500
64456;PADRON C/AR - SP;Sao Paulo;500
64457;PADRON C/AR - SP;Sao Paulo;500
64458;PADRON C/AR - SP;Sao Paulo;500
64459;PADRON C/AR - SP;Sao Paulo;500
64460;PADRON C/AR - SP;Sao Paulo;500
64461;PADRON C/AR - SP;Sao Paulo;500
64462;PADRON C/AR - SP;Sao Paulo;500
64463;PADRON C/AR - SP;Sao Paulo;500
64464;PADRON C/AR - SP;Sao Paulo;500
64465;PADRON C/AR - SP;Sao Paulo;500
64466;PADRON C/AR - SP;Sao Paulo;500
64467;PADRON C/AR - SP;Sao Paulo;500
64468;PADRON C/AR - SP;Sao Paulo;500
64469;PADRON C/AR - SP;Sao Paulo;500
64470;PADRON C/AR - SP;Sao Paulo;500
64472;PADRON C/AR - SP;Sao Paulo;500
64473;PADRON C/AR - SP;Sao Paulo;500
64474;PADRON C/AR - SP;Sao Paulo;500
64475;PADRON C/AR - SP;Sao Paulo;500
64476;PADRON C/AR - SP;Sao Paulo;500
64477;PADRON C/AR - SP;Sao Paulo;500
64480;PADRON C/AR - SP;Sao Paulo;500
64481;PADRON C/AR - SP;Sao Paulo;500
64482;PADRON C/AR - SP;Sao Paulo;500
64483;PADRON C/AR - SP;Sao Paulo;500
64484;PADRON C/AR - SP;Sao Paulo;500
64485;PADRON C/AR - SP;Sao Paulo;500
64486;PADRON C/AR - SP;Sao Paulo;500
64487;PADRON C/AR - SP;Sao Paulo;500
64488;PADRON C/AR - SP;Sao Paulo;500
64604;BASICO C/ AR - SP;Sao Paulo;600
64605;BASICO C/ AR - SP;Sao Paulo;600
64606;BASICO C/ AR - SP;Sao Paulo;600
64608;BASICO C/ AR - SP;Sao Paulo;600
64609;BASICO C/ AR - SP;Sao Paulo;600
64610;BASICO C/ AR - SP;Sao Paulo;600
64611;BASICO C/ AR - SP;Sao Paulo;600
64612;BASICO C/ AR - SP;Sao Paulo;600
64613;PADRON C/AR - SP;Sao Paulo;500
64614;PADRON C/AR - SP;Sao Paulo;500
64615;PADRON C/AR - SP;Sao Paulo;500
64616;PADRON C/AR - SP;Sao Paulo;500
64617;PADRON C/AR - SP;Sao Paulo;500
64618;PADRON C/AR - SP;Sao Paulo;500
64619;PADRON C/AR - SP;Sao Paulo;500
64620;PADRON C/AR - SP;Sao Paulo;500
64621;PADRON C/AR - SP;Sao Paulo;500
64622;PADRON C/AR - SP;Sao Paulo;500
64623;PADRON C/AR - SP;Sao Paulo;500
64624;PADRON C/AR - SP;Sao Paulo;500
64625;PADRON C/AR - SP;Sao Paulo;500
64626;PADRON C/AR - SP;Sao Paulo;500
64627;PADRON C/AR - SP;Sao Paulo;500
64842;MICRO ÔNIBUS;Sao Paulo;500
64843;MICRO ÔNIBUS;Sao Paulo;500
64844;MICRO ÔNIBUS;Sao Paulo;500
64845;MICRO ÔNIBUS;Sao Paulo;300
64846;MICRO ÔNIBUS;Sao Paulo;300
;;;
;;;
;;;
;;;
